63
41	30
18	6
20	6
18	5
22	17
19	5
16	6
18	4
21	7
18	8
15	4
18	4
24	7
18	4
17	5
16	4
21	4
19	4
19	7
18	5
23	6
18	6
19	5
19	11
17	4
20	11
17	4
23	11
18	4
19	11
21	4
17	4
19	35
15	3
20	10
18	4
17	4
19	5
19	4
15	3
14	4
14	3
16	4
19	10
20	5
17	4
22	5
16	4
20	4
17	4
20	5
16	4
22	5
16	3
17	4
19	8
17	4
16	4
19	4
20	5
17	4
19	5
19	10
19	4
15	6
21	4
18	3
16	5
20	4
20	4
20	13
19	5
20	4
13	3
19	4
22	4
14	16
18	5
17	4
19	4
14	4
26	10
16	4
15	3
21	10
16	5
17	5
15	6
17	4
20	4
22	4
19	45
26	6
18	4
15	3
17	11
13	3
17	3
16	5
17	5
